;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25624;25624;AGUINAGA,ALBERTO;   ;SOLICITANDO PE INFORME SOBRE EL INSTITUTO UNIVERSITARIO DESEGURIDAD PUBLICA;CD;R ;PD;12/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26505;26505;AGUINAGA,ALBERTO;PEREZ J. CORTIZO AHUMADA CALISE;ESTABLECIENDO OBLIGATORIO ALAMBRAR TODOS CAMINOS PRIMARIOSDE JURISDICCION DE VIALIDAD PROVINCIAL, NACIONAL Y MUNICIPA.DE MZA.;CD;L ;PD;09/08/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27056;27056;AGUINAGA,ALBERTO;PEREZ J. MARTIN  ;MODIFICANDO ARTS. LEY 6721, ESTABLECIENDO BASES JURIDICAS,POLITICAS E INSTITUCIONALES DEL SISTEMA PROVINCIAL DESEGURIDAD PUBLICA;CD;L ;PD;25/10/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27550;27550;AGUINAGA,ALBERTO;   ;INVITANDO PTE ENTE PROVINCIAL DE AGUA Y SANEAMIENTO A COMI.LAC A FIN DE INFORMAR SOBRE CONTROL QUE AFECTUA A LA EMPRESAOBRAS SANITARIAS MENDOZA S.A.;CD;R ;PD;15/01/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27701;27701;AGUINAGA,ALBERTO;   ;CITANDO SUBSECRETARIO DE RELACIONES CON LA COMUNIDAD AREUNION L.A.C., A FIN DE INFORMAR SOBR DECLARACIONESRELACIONADAS CON EL PLAN CANJE DE ARMAS;CD;R ;PD;20/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27735;27735;AGUINAGA,ALBERTO;   ;SOLICITANDO AL MINIST. DE JUST.Y SEGUR. COPIA DE LOS INFORMEREMITIDOS DESDE ENERO DE 1998 HASTA LA FECHA A LA DCCION. NACIONAL DE POLIT. CRIMINAL DE LA NACION SOBRE INDICE DELICTIV;CD;R ;PD;27/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27736;27736;AGUINAGA,ALBERTO;   ;SOLICITANDO A DCCION.NAC.DE POL. PENAL Y ASUNTOS PENITENC.DELA NACION INFORME SI LA PCIA.HA REMITIDO LOS DATOS DE DELITOCOMETIDOS DESDE ENERO 1998 A LA FECHA;CD;R ;PD;27/02/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=27840;27840;AGUINAGA,ALBERTO;   ;MODIFICANDO EL ART. 58 DEL CODIGO DE FALTAS DE LA PROVINCIA;CD;L ;PD;15/03/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28290;28290;AGUINAGA,ALBERTO;MARTIN   ;SOLICITANDO AL PE QUE A TRAVES DEL MINIST. DE JUST.Y SEGUR.INFORME SOBRE GASTOS RELACIONAODS CON EL PLAN CANJE DE ARMAS;CD;R ;PD;30/05/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28304;28304;AGUINAGA,ALBERTO;   ;QUE EL PEN INFORME SOBRE VARIOS PUNTOS REFERIDOS A AEROLINEAS ARGENTINAS;CD;D ;PD;04/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29102;29102;AGUINAGA,ALBERTO;   ;SOLICITANDO PE INFORME SI DURANTE EL ANO EN CURSO, HA PAGADOCON ATRASO A LA OSEP EL APORTE QUE PARA TAL FIN RETIENE DESUS HABERES A LOS AGENTES DE LA ADMINISTRACION PUBLICA;CD;R ;PD;23/10/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29175;29175;AGUINAGA,ALBERTO;   ;SOLICITANDO PE INFORME SOBRE LA EFECTIVA APLICACION QUE SEHACE EN LA PENITENCIARIA DE LO DISPUESTO POR ART. 163 LEY24660 -REGISTRO DE LAS PERSONAS QUE INGRESAN A LA MISMA-;CD;R ;PD;30/10/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29179;29179;AGUINAGA,ALBERTO;   ;CREANDO EL FONDO VIAL PROVINCIAL;CD;L ;PD;30/10/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29798;29798;AGUINAGA,ALBERTO;   ;SOLICITAR AL PE INFORME SOBRE LA DESIGNACION DE GUSTAVOFEHLMANN EN EL CARGO VACANTE DE FISCAL EN LA SEGUNDA FISCALIA DE INSTRUCCION;CD;R ;PD;06/02/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=29885;29885;AGUINAGA,ALBERTO;   ;SOLICITANDO AL FISCAL DE ESTADO INFORME SOBRE EL ESTADO DE VVARIAS DENUNCIAS;CD;R ;PD;26/02/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=30012;30012;AGUINAGA,ALBERTO;   ;CREANDO EL ORGANISMO PROVINCIAL DE CONTROL FARMACOLOGICO;CD;L ;PD;20/03/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=31302;31302;AGUINAGA,ALBERTO;   ;SOLICITANDO MIN.JUS.SEG. INFORME SOBRE PUNTOS REFERIDOS ALPARQUE AUTOMOTOR DEL MISMO;CD;R ;PD;16/09/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=31301;31301;AGUINAGA,ALBERTO;   ;QUE EL PE GESTIONARA UN CONVENIO CON LA NACION A FIN DE QUEOSEP Y PAMI PRESTEN ASISTENCIA CONJUNTA A LOS JUBILADOS NACIONALES Y PCIALES.;CD;D ;PD;16/09/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=31860;31860;AGUINAGA,ALBERTO;   ;ESTABLECIENDO QUE CUANDO POR RESOLUCION SE CITE AFUNCIONARIOS DE LOS PODERES EJECUTIVO O JUDICIAL, DEBERAREGIR EL PRESENTE PROCEDIMIENTO;CD;R ;PD;12/11/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=32182;32182;AGUINAGA,ALBERTO;   ;QUE LEG.NAC. PROPICIEN LA MODIFICACION DE LA LEY DERETENCIONES A LAS EXPORTACIONES;CD;D ;PD;17/12/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=32181;32181;AGUINAGA,ALBERTO;   ;CITANDO A COM. L.P. AL SUBSECRETARIO DE SEGURIDAD, A FIN DEQUE INFORME SOBRE TEMAS DE SEGURIDAD;CD;R ;PD;17/12/2002
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=33680;33680;AGUINAGA,ALBERTO;RIVAS   ;SOLICITANDO AL TRIBUNAL DE CUENTAS INFORME SOBRE VARIOS PUNTOS RELACIONADOS CON ACTAS Y FALLOS GENERADOS EN ESE TRIBUNAL DESDE 1983 HASTA 2003;CD;R ;PD;28/07/2003
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=33765;33765;AGUINAGA,ALBERTO;   ;SOLICITANDO A LA SUP. CORTE DE JUSTICIA INFORME SOBRE LA CANTIDAD Y ESTADO EN QUE SE ENCUENTRAN LAS CAUSAS PENALES EN TRAMITE EN LOS JUZGADOS DE INSTRUCC. O FISCALIA CORRECCIONALEES EN LAS QUE SE ENCUENTREN DENUNCIADOS O IMPUTADOS EL GOBERNADOR Y LOS MINISTROS;CD;R ;PD;07/08/2003
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=34175;34175;AGUINAGA,ALBERTO;   ;MODIFICANDO EL ART. 4 DE LA LEY 4143, ESTABLECIENDO QUE EL REGIMEN DE ADICIONAL POR TITULO PREVISTO EN EL ESCALAFON GRAL. DEL PERSONAL DE LA ADMINIST. PUBLICA SERA APLICABLE A LOS AGENTES DEL PODER JUDICIAL CON EXCEPCION DE LOS MAGISTRADOS DE LOS DISTINTOS FUEROS;CD;L ;PD;26/09/2003
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=34200;34200;AGUINAGA,ALBERTO;   ;DEROGANDO EL ART. 3 DE LA LEY 6651, EN CONSECUENCIA ELIMINANDO DE LA LEY DE MINISTERIOS EL MINISTERIO DE JUSTICIA Y SEGURIDAD, PASANDO SU COMPETENCIA AL MINIST. DE GOBIERNO;CD;L ;PD;30/09/2003
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=34351;34351;AGUINAGA,ALBERTO;   ;SOLICITANDO AL PE INFORME SOBRE LOS MOTIVOS QUE HAN DILATADO LA CONFORMACION DEL TRIBUNAL MINERO JUDICIAL SEGUN LEY 6654;CD;R ;PD;21/10/2003
