;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25161;25161;AHUMADA,ARTURO;   ;CONVOCANDO A LA COMISION DE OP AL MINISTRO DE AMBIENTE Y OP;CD;R ;PJ;09/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25184;25184;AHUMADA,ARTURO;MARTIN CASTANOS  ;SOLIDARIZANDOSE CON ADJUDICATARIOS DEL BCO.HIPOT.NAC. REPRIMIDOS POR POLICIA FEDERAL EN LA PLAZA DEL CONGRESO EL 10-02;CD;R ;PJ;11/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25282;25282;AHUMADA,ARTURO;   ;ESTABLECIENDO REGIMEN DESCUENTO OBLIGATORIO DE DEBITOSTRIBUTARIOS A LOS IMPU. AUTOMOTOR E INMOBILIARIO A APLICAR ATODOS FUNCIONARIOS PUBLICOS.;CD;L ;PJ;01/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25308;25308;AHUMADA,ARTURO;   ;MODIFICANDO ART. 37 LEY 3799 Y ART. 17, 21 INC. B) Y 110INC. E) LEY 4416 Y DEROGANDO ARTS. 75, 76 Y 81 LEY 5908MANEJO PROVINCIAL-      -DESREGULACION ECONOMICA-;CD;L ;PJ;08/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25349;25349;AHUMADA,ARTURO;   ;ESTABLECIENDO QUE LAS OBRAS PUBLICAS PROVINCIALES PODRAN SEREJECUTADAS POR EMPRESAS LOCALES Y EXTRANJERAS (COMPRE MENDOCINO);CD;L ;PJ;10/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25354;25354;AHUMADA,ARTURO;   ;SOLICITANDO PE QUE EN EL TERMINO DE 10 DIAS DE CUMPLIMIENTOA LO ESTABLECIDO POR EL ART. 5 DE LA ELY 6748;CD;R ;PJ;13/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25456;25456;AHUMADA,ARTURO;VILLANUEVA   ;SOLICITANDO PE HABILITE EL TRATAMIENTO DE LOS PROYECTO DELEY OBRANTES EXPTES. 25282, 25308, 25349 Y 25452;CD;R ;PJ;21/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25452;25452;AHUMADA,ARTURO;   ;ESTABLECIENDO MIN.AMB.O.P. ELABORARA UN PRESUPUESTOPLURIANUAL DENOMINADO "PLAN GENERAL DE OBRAS PUBLICAS";CD;L ;PJ;21/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25686;25686;AHUMADA,ARTURO;   ;SOLICITANDO MIN.HAC. INFORME SOBRE LA SITUACION FISCAL PROVINCIAL DE LA EMPRESA AEROPUERTOS ARGENTINOS 2000 S.A.CONCESIONARIA DEL AEROPUERTO INTERNACIONAL "FRANC. GABRIELLI;CD;R ;PJ;17/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25674;25674;AHUMADA,ARTURO;   ;SOLICITANDO ORGANISMO REGULADOR DEL SISTEMA DE AEROPUERTOSO.R.S.N.A. DE SOLUCION A LOS RECLAMOS POR TASAS Y DERECHOSQUE EFECTUA LA MUNICIPALIDAD LAS HERAS AL CONCESIONARIO;CD;R ;PJ;17/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25743;25743;AHUMADA,ARTURO;CRUZ   ;SOLICITANDO PE INFORME SOBRE EJECUCION PRESUPUESTARIA AL30-04-00;CD;R ;PJ;26/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25804;25804;AHUMADA,ARTURO;CASTANOS   ;ESTABLECIENDO QUE LOS DEUDORES HIPOTEC. SOBRE INMUEB. CON VIVIENDA UNICA CONTRUIDA CON FONDOS ESTATALES GOZARAN DEL BENEFICIO DE LITIGAR SIN GASTOS;CD;L ;PJ;01/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25841;25841;AHUMADA,ARTURO;   ;SOLICITANDO PE PARA CONSIDERAR LA DENUNCIA EFECTUADA PORLEGISLADORES A LA EMPRESA JUAN MINETTI S.A. ANTE COMISIONDEFENSA DE LA COMPETENCIA, POR ABUSO DE POSICION MER. CEMENT;CD;R ;PJ;08/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25843;25843;AHUMADA,ARTURO;   ;DECLARANDO INTERES H. CAMARA CONVENIO CELEBRADO ENTRE LASMUNICIPALIDADES DE LAS HERAS Y LA D.N.MINERIA, EN EL MARCODEL PRAGRAMA HUELLAS MINERAS;CD;R ;PJ;08/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25842;25842;AHUMADA,ARTURO;   ;MODIFICANDO ART. 2 LEY 6752 INC. 2) -LEY IMPOSITIVA ANO 2000;CD;L ;PJ;08/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25849;25849;AHUMADA,ARTURO;   ;SOLICITANDO PE REMITA TODOS LOS ANTECEDENTES CON RESPECTOA LA SITUACION DE LA INDUSTRIA DEL CEMENTO EN LA PROVINCIA;CD;R ;PJ;10/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25852;25852;AHUMADA,ARTURO;   ;QUE LA ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS (AFIP)INFORME SOBRE LA SITUACION FISCAL DE LA EMPRESA JUAN MINETTIS.A.;CD;D ;PJ;10/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25850;25850;AHUMADA,ARTURO;   ;SOLICITANDO PE INFORME LA SITUACION LABORAL DEL PERSONAL DELA EMPRESA JUAN MINETTI S.A. Y LAS MEDIDAS ADOPTADAS;CD;R ;PJ;10/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25910;25910;AHUMADA,ARTURO;   ;DECLARANDO INTERES SOCIAL PROVINCIAL LA CONSOLIDACION Y/OMANTENIMIENTO DE LAS FUENTES DE TRABAJO, CON FINES DESOLIDARIDAD SOCIAL;CD;L ;PJ;17/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25918;25918;AHUMADA,ARTURO;VILLANUEVA   ;SOLICITANDO PE DESTINARA DE 30% HASTA 50% DE LOS FONDOSAFECTADOS AL PLAN DD INTEGRACION Y DESARROLLO SOCIAL, PARALA EMISION DE TICKET CANASTA SOCIAL DE LA PROVINCIA DE MZA.;CD;L ;PJ;17/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25949;25949;AHUMADA,ARTURO;   ;SOLICITANDO PE INFORME SOBRE LA GUIA DE EDUCACION AMBIENTALFLORA Y FAUNA DE MENDOZA;CD;R ;PJ;19/05/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=26228;26228;AHUMADA,ARTURO;VILLANUEVA   ;INVITANDO AL MINIST. DE AMB. Y OP A REUNION CON LAS COMISIONES DE LABOR PARL., H.P. Y DE O.P.I. A FIN DE INFORMAR SOBREEL FONDO FIDUCIARIO DE OBRAS PUBLICAS;CD;R ;PJ;01/06/2000
