;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25168;25168;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI  ;MODIFICANDO EL ART. 9 DE LA LEY 4969;CD;L ;PR;09/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25169;25169;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI  ;INCORPORANDO UN APARTADO ALART. 146 DEL CODIGO PROCESAL CIVIL;CD;L ;PR;09/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25208;25208;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI  ;SOLICITANDO AL DPTO. GRAL. DE IRRIGACION INFORME SOBRE LOSPRESUPUESTOS 1998 Y 1999 Y SUS RENDICIONES DE CUENTAS;CD;R ;PR;15/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25209;25209;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI  ;INCORPORANDO PARRAFOS EN EL ART. 9 IN FINE, DE LA LEY 6361;CD;L ;PR;16/02/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25399;25399;ARMAGNAGUE,FERNANDO;RODRIGUEZ BRUNI  ;SOLICITANDO AL PE DECLARE DE INTERES PCIAL. LAS ACTIVIDADESA DESARROLLARSE EN LA PCIA. CON MOTIVO DEL CAMPEONATO MUNDIAL JUVENIL DE FUTBOL SUB 21 EN EL 2000;CD;R ;PR;15/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25449;25449;ARMAGNAGUE,FERNANDO;PEREZ_BOTTI NIETO E.  ;DESIGNANDO COMO TRIBUNA VICTOR ANTONIO LEGROTAGLIE, A LAUBICADA EN EL SECTOR OESTE DEL ESTADIO MALVINAS ARGENTINAS;CD;L ;PA;21/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25450;25450;ARMAGNAGUE,FERNANDO;BRUNI MANZITTI ESCAYOLA ;ESTABLECIENDO LA LEY DE ETICA EN EJERCICIO DE LA FUNCIONPUBLICA;CD;L ;PA;21/03/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25577;25577;ARMAGNAGUE,FERNANDO;RODRIGUEZ ZICATO MANZITTI CENTENO;ESTABLECIENDO QUE TODOS LOS FONDOS PUBLICOS DEBERAN SERINVERTIDOS EN EL BANCO DE LA NACION ARGENTINA;CD;L ;PA;05/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25576;25576;ARMAGNAGUE,FERNANDO;RUGGERI NIETO D. MANZITTI ESCAYOLA;SOLICITANDO PEN QUE EN FUTUROS PROYECTOS DE PRESUPUESTO, SEINCLUYAN LA OBLIGACION EXPRESA DE TODA ADMINISTRACIONCENTRALIZADA Y DESCENT. DE DEPOSITAR FONDOS BCOS. OFICIALES;CD;R ;PA;05/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25723;25723;ARMAGNAGUE,FERNANDO;PEREZ_BOTTI AGUINAGA MANZITTI NIETO E.;DESIGNANDO DRES. FELMAN, SANTAMARIA Y CALVENTE, ASESORESDE LA COMISION  AD-HOC QUE SE ENCARGARA DE  ELABORAR UNTEXTO DEL PROY. LEY MOD. CODIGO PROCESAL LABORAL;CD;R ;PA;25/04/2000
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=25996;25996;ARMAGNAGUE,FERNANDO;BRUNI LIBERAL  ;SOLICITANDO EPRE INFORME SOBRE PARTICIPACIONES ACCIONARIASQUE EN LOS ULTIMOS 5 ANOS HA TENIDO LA EMPRESA ELECTRICITIDE FRANCE;CD;R ;PA;23/05/2000
